school_group,tj_pathway,division,school_id,school,class_year,nmsf_count,grade11_enrollment,nmsf_per_100_juniors,rate_status,row_coverage_status,nmsf_status,enrollment_status,denominator_gap_flag,nmsf_missingness_flag,rate_missingness_note
Base public schools,Loudoun,LCPS,broad_run_high_school,Broad Run High School,2026,3,401,0.748130,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2019,,353,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2020,,409,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2021,,391,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2022,,362,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2023,2,368,0.543478,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2024,0,337,0.000000,calculated,compatible,verified_zero,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2025,2,396,0.505051,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2026,3,356,0.842697,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2019,,,,missing_nmsf_and_grade11_enrollment,nmsf_and_denominator_gap,missing_source,ambiguous_source_name,true,true,missing NMSF count and grade 11 denominator
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2020,,,,missing_nmsf_and_grade11_enrollment,nmsf_and_denominator_gap,missing_source,ambiguous_source_name,true,true,missing NMSF count and grade 11 denominator
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2021,,,,missing_nmsf_and_grade11_enrollment,nmsf_and_denominator_gap,missing_source,ambiguous_source_name,true,true,missing NMSF count and grade 11 denominator
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2022,,,,missing_nmsf_and_grade11_enrollment,nmsf_and_denominator_gap,missing_source,ambiguous_source_name,true,true,missing NMSF count and grade 11 denominator
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2023,3,,,missing_grade11_enrollment,denominator_gap,verified_count,ambiguous_source_name,true,false,missing grade 11 denominator
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2024,7,,,missing_grade11_enrollment,denominator_gap,verified_count,ambiguous_source_name,true,false,missing grade 11 denominator
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2025,2,,,missing_grade11_enrollment,denominator_gap,verified_count,ambiguous_source_name,true,false,missing grade 11 denominator
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2026,7,490,1.428571,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2019,,360,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2020,,363,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2021,,363,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2022,,388,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2023,3,349,0.859599,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2024,2,366,0.546448,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2025,1,353,0.283286,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2026,1,389,0.257069,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2019,,,,not_operating,not_operating,not_operating,not_operating,false,false,school not operating for class year
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2020,,,,not_operating,not_operating,not_operating,not_operating,false,false,school not operating for class year
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2021,,255,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2022,,381,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2023,3,449,0.668151,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2024,5,482,1.037344,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2025,6,524,1.145038,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2026,8,535,1.495327,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,john_champe_high_school,John Champe High School,2019,,469,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,john_champe_high_school,John Champe High School,2020,,540,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,john_champe_high_school,John Champe High School,2021,,605,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,john_champe_high_school,John Champe High School,2022,,530,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,john_champe_high_school,John Champe High School,2023,1,344,0.290698,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,john_champe_high_school,John Champe High School,2024,6,381,1.574803,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,john_champe_high_school,John Champe High School,2025,4,431,0.928074,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,john_champe_high_school,John Champe High School,2026,3,414,0.724638,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
