source_row_id,source_sheet,source_row,school_name_source,state_name,school_year,grade11_students,grade11_status,grades9_12_students,grades9_12_status
sheet6_row_033,Sheet6,33,LAKE BRADDOCK SECONDARY,Virginia,2021-22,722,reported,2821,reported
sheet6_row_033,Sheet6,33,LAKE BRADDOCK SECONDARY,Virginia,2020-21,709,reported,2824,reported
sheet6_row_033,Sheet6,33,LAKE BRADDOCK SECONDARY,Virginia,2019-20,702,reported,2844,reported
sheet6_row_033,Sheet6,33,LAKE BRADDOCK SECONDARY,Virginia,2018-19,698,reported,2846,reported
sheet6_row_033,Sheet6,33,LAKE BRADDOCK SECONDARY,Virginia,2017-18,737,reported,2849,reported
sheet6_row_034,Sheet6,34,LANGLEY HIGH,Virginia,2023-24,538,reported,2136,reported
sheet6_row_034,Sheet6,34,LANGLEY HIGH,Virginia,2022-23,515,reported,2123,reported
sheet6_row_034,Sheet6,34,LANGLEY HIGH,Virginia,2021-22,521,reported,2049,reported
sheet6_row_034,Sheet6,34,LANGLEY HIGH,Virginia,2020-21,483,reported,2023,reported
sheet6_row_034,Sheet6,34,LANGLEY HIGH,Virginia,2019-20,531,reported,1992,reported
sheet6_row_034,Sheet6,34,LANGLEY HIGH,Virginia,2018-19,482,reported,1943,reported
sheet6_row_034,Sheet6,34,LANGLEY HIGH,Virginia,2017-18,475,reported,1965,reported
sheet6_row_035,Sheet6,35,LEWIS HIGH,Virginia,2023-24,443,reported,1673,reported
sheet6_row_035,Sheet6,35,LEWIS HIGH,Virginia,2022-23,402,reported,1697,reported
sheet6_row_035,Sheet6,35,LEWIS HIGH,Virginia,2021-22,423,reported,1704,reported
sheet6_row_035,Sheet6,35,LEWIS HIGH,Virginia,2020-21,436,reported,1773,reported
sheet6_row_035,Sheet6,35,LEWIS HIGH,Virginia,2019-20,410,reported,1806,reported
sheet6_row_035,Sheet6,35,LEWIS HIGH,Virginia,2018-19,470,reported,1765,reported
sheet6_row_035,Sheet6,35,LEWIS HIGH,Virginia,2017-18,485,reported,1786,reported
sheet6_row_036,Sheet6,36,LIGHTRIDGE HIGH,VIRGINIA,2023-24,461,reported,1926,reported
sheet6_row_036,Sheet6,36,LIGHTRIDGE HIGH,VIRGINIA,2022-23,421,reported,1771,reported
sheet6_row_036,Sheet6,36,LIGHTRIDGE HIGH,VIRGINIA,2021-22,392,reported,1263,reported
sheet6_row_036,Sheet6,36,LIGHTRIDGE HIGH,VIRGINIA,2020-21,167,reported,949,reported
sheet6_row_036,Sheet6,36,LIGHTRIDGE HIGH,VIRGINIA,2019-20,,not_applicable,,not_applicable
sheet6_row_036,Sheet6,36,LIGHTRIDGE HIGH,VIRGINIA,2018-19,,not_applicable,,not_applicable
sheet6_row_036,Sheet6,36,LIGHTRIDGE HIGH,VIRGINIA,2017-18,,not_applicable,,not_applicable
sheet6_row_037,Sheet6,37,LOUDOUN COUNTY HIGH,Virginia,2023-24,368,reported,1406,reported
sheet6_row_037,Sheet6,37,LOUDOUN COUNTY HIGH,Virginia,2022-23,385,reported,1533,reported
sheet6_row_037,Sheet6,37,LOUDOUN COUNTY HIGH,Virginia,2021-22,361,reported,1501,reported
sheet6_row_037,Sheet6,37,LOUDOUN COUNTY HIGH,Virginia,2020-21,363,reported,1494,reported
sheet6_row_037,Sheet6,37,LOUDOUN COUNTY HIGH,Virginia,2019-20,369,reported,1531,reported
sheet6_row_037,Sheet6,37,LOUDOUN COUNTY HIGH,Virginia,2018-19,385,reported,1469,reported
sheet6_row_037,Sheet6,37,LOUDOUN COUNTY HIGH,Virginia,2017-18,341,reported,1505,reported
sheet6_row_038,Sheet6,38,LOUDOUN VALLEY HIGH,Virginia,2023-24,286,reported,1174,reported
sheet6_row_038,Sheet6,38,LOUDOUN VALLEY HIGH,Virginia,2022-23,291,reported,1178,reported
sheet6_row_038,Sheet6,38,LOUDOUN VALLEY HIGH,Virginia,2021-22,325,reported,1237,reported
sheet6_row_038,Sheet6,38,LOUDOUN VALLEY HIGH,Virginia,2020-21,332,reported,1267,reported
sheet6_row_038,Sheet6,38,LOUDOUN VALLEY HIGH,Virginia,2019-20,317,reported,1318,reported
sheet6_row_038,Sheet6,38,LOUDOUN VALLEY HIGH,Virginia,2018-19,343,reported,1349,reported
sheet6_row_038,Sheet6,38,LOUDOUN VALLEY HIGH,Virginia,2017-18,334,reported,1367,reported
sheet6_row_039,Sheet6,39,MADISON HIGH,Virginia,2023-24,536,reported,2113,reported
sheet6_row_039,Sheet6,39,MADISON HIGH,Virginia,2022-23,525,reported,2135,reported
sheet6_row_039,Sheet6,39,MADISON HIGH,Virginia,2021-22,594,reported,2212,reported
sheet6_row_039,Sheet6,39,MADISON HIGH,Virginia,2020-21,572,reported,2230,reported
sheet6_row_039,Sheet6,39,MADISON HIGH,Virginia,2019-20,552,reported,2289,reported
sheet6_row_039,Sheet6,39,MADISON HIGH,Virginia,2018-19,548,reported,2225,reported
sheet6_row_039,Sheet6,39,MADISON HIGH,Virginia,2017-18,564,reported,2235,reported
sheet6_row_040,Sheet6,40,MARSHALL HIGH,Virginia,2023-24,557,reported,2190,reported
sheet6_row_040,Sheet6,40,MARSHALL HIGH,Virginia,2022-23,516,reported,2109,reported
sheet6_row_040,Sheet6,40,MARSHALL HIGH,Virginia,2021-22,508,reported,2068,reported
sheet6_row_040,Sheet6,40,MARSHALL HIGH,Virginia,2020-21,519,reported,2103,reported
sheet6_row_040,Sheet6,40,MARSHALL HIGH,Virginia,2019-20,577,reported,2170,reported
sheet6_row_040,Sheet6,40,MARSHALL HIGH,Virginia,2018-19,569,reported,2254,reported
sheet6_row_040,Sheet6,40,MARSHALL HIGH,Virginia,2017-18,636,reported,2270,reported
sheet6_row_041,Sheet6,41,MCLEAN HIGH,Virginia,2023-24,626,reported,2444,reported
sheet6_row_041,Sheet6,41,MCLEAN HIGH,Virginia,2022-23,583,reported,2441,reported
sheet6_row_041,Sheet6,41,MCLEAN HIGH,Virginia,2021-22,602,reported,2365,reported
sheet6_row_041,Sheet6,41,MCLEAN HIGH,Virginia,2020-21,560,reported,2317,reported
sheet6_row_041,Sheet6,41,MCLEAN HIGH,Virginia,2019-20,582,reported,2369,reported
sheet6_row_041,Sheet6,41,MCLEAN HIGH,Virginia,2018-19,555,reported,2275,reported
sheet6_row_041,Sheet6,41,MCLEAN HIGH,Virginia,2017-18,547,reported,2185,reported
sheet6_row_042,Sheet6,42,MERIDIAN HIGH,Virginia,2023-24,225,reported,887,reported
sheet6_row_042,Sheet6,42,MERIDIAN HIGH,Virginia,2022-23,197,reported,865,reported
sheet6_row_042,Sheet6,42,MERIDIAN HIGH,Virginia,2021-22,195,reported,848,reported
sheet6_row_042,Sheet6,42,MERIDIAN HIGH,Virginia,2020-21,226,reported,859,reported
sheet6_row_042,Sheet6,42,MERIDIAN HIGH,Virginia,2019-20,207,reported,845,reported
sheet6_row_042,Sheet6,42,MERIDIAN HIGH,Virginia,2018-19,196,reported,825,reported
sheet6_row_042,Sheet6,42,MERIDIAN HIGH,Virginia,2017-18,211,reported,826,reported
sheet6_row_043,Sheet6,43,MOUNT VERNON HIGH,Virginia,2023-24,498,reported,1953,reported
sheet6_row_043,Sheet6,43,MOUNT VERNON HIGH,Virginia,2022-23,469,reported,1959,reported
sheet6_row_043,Sheet6,43,MOUNT VERNON HIGH,Virginia,2021-22,449,reported,1968,reported
sheet6_row_043,Sheet6,43,MOUNT VERNON HIGH,Virginia,2020-21,476,reported,2013,reported
sheet6_row_043,Sheet6,43,MOUNT VERNON HIGH,Virginia,2019-20,473,reported,2002,reported
sheet6_row_043,Sheet6,43,MOUNT VERNON HIGH,Virginia,2018-19,495,reported,2022,reported
sheet6_row_043,Sheet6,43,MOUNT VERNON HIGH,Virginia,2017-18,562,reported,2083,reported
sheet6_row_044,Sheet6,44,OAKTON HIGH,Virginia,2023-24,623,reported,2620,reported
sheet6_row_044,Sheet6,44,OAKTON HIGH,Virginia,2022-23,690,reported,2701,reported
sheet6_row_044,Sheet6,44,OAKTON HIGH,Virginia,2021-22,674,reported,2635,reported
sheet6_row_044,Sheet6,44,OAKTON HIGH,Virginia,2020-21,666,reported,2715,reported
sheet6_row_044,Sheet6,44,OAKTON HIGH,Virginia,2019-20,727,reported,2743,reported
sheet6_row_044,Sheet6,44,OAKTON HIGH,Virginia,2018-19,662,reported,2749,reported
sheet6_row_044,Sheet6,44,OAKTON HIGH,Virginia,2017-18,687,reported,2652,reported
sheet6_row_045,Sheet6,45,OSBOURN PARK HIGH,Virginia,2023-24,684,reported,2740,reported
sheet6_row_045,Sheet6,45,OSBOURN PARK HIGH,Virginia,2022-23,676,reported,2757,reported
sheet6_row_045,Sheet6,45,OSBOURN PARK HIGH,Virginia,2021-22,651,reported,2757,reported
sheet6_row_045,Sheet6,45,OSBOURN PARK HIGH,Virginia,2020-21,653,reported,2617,reported
sheet6_row_045,Sheet6,45,OSBOURN PARK HIGH,Virginia,2019-20,585,reported,2573,reported
sheet6_row_045,Sheet6,45,OSBOURN PARK HIGH,Virginia,2018-19,565,reported,2389,reported
sheet6_row_045,Sheet6,45,OSBOURN PARK HIGH,Virginia,2017-18,492,reported,2201,reported
