source_id,class_year,city,school_name_source,matched_school_id,matched_school,nmsf_count,snapshot_record_type,snapshot_notes
nmsc_virginia_2026_semifinalists,2026,NEWPORT NEWS,HAMPTON ROADS ACADEMY,,,2,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,NEWPORT NEWS,NOKESVILLE PATRIOT H. S.,patriot_high_school,Patriot High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,NORFOLK,NORFOLK ACADEMY,,,4,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,NORFOLK,OAKTON FLINT HILL SCHOOL,flint_hill_school,Flint Hill School,4,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,PALMYRA,FLUVANNA COUNTY H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,POQUOSON,POQUOSON H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,POQUOSON,POTOMAC FALLS POTOMAC FALLS H. S.,potomac_falls_high_school,Potomac Falls High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,POWHATAN,POWHATAN H. S.,,,2,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,POWHATAN,PURCELLVILLE WOODGROVE H. S.,woodgrove_high_school,Woodgrove High School,2,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,POWHATAN,RESTON SOUTH LAKES H. S.,south_lakes_high_school,South Lakes High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,RICHMOND,CODERVA REGIONAL H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,RICHMOND,COLLEGIATE SCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,RICHMOND,ST. CHRISTOPHER'S SCHOOL,,,2,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,RICHMOND,THE STEWARD SCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,ROANOKE,CAVE SPRING H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,ROANOKE,HIDDEN VALLEY H. S.,,,2,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,SALEM,SALEM H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,SOUTH RIDING,FREEDOM H. S.,freedom_high_school_south_riding,Freedom High School (South Riding),7,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,SOUTH RIDING,SPRINGFIELD WEST SPRINGFIELD H. S.,west_springfield_high_school,West Springfield High School,2,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,STAFFORD,COLONIAL FORGE H. S.,,,2,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,STAFFORD,MOUNTAIN VIEW H. S.,,,2,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,STAFFORD,OAKCREST SCHOOL,oakcrest_school,Oakcrest School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,STAFFORD,OAKTON H. S.,oakton_high_school,Oakton High School,25,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,STAFFORD,STERLING DOMINION H. S.,dominion_high_school,Dominion High School,3,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,STAFFORD,THE PLAINS WAKEFIELD SCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,STAFFORD,VIENNA JAMES MADISON H. S.,madison_high_school,Madison High School,8,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,VIRGINIA BEACH,FIRST COLONIAL H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,VIRGINIA BEACH,FLOYD E. KELLAM H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,VIRGINIA BEACH,LANDSTOWN H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,VIRGINIA BEACH,OCEAN LAKES H. S.,,,5,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,WILLIAMSBURG,JAMESTOWN H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,WILLIAMSBURG,WARHILL H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,WINCHESTER,MILLBROOK H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,WINCHESTER,WOODBRIDGE C. D. HYLTON H. S.,c_d_hylton_high_school,C.D. Hylton High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,YORKTOWN,GRAFTON H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,YORKTOWN,TABB H. S.,,,3,out_of_roster_count,outside canonical roster or unmatched; student names omitted
