school_id,school,nces_school_id,nces_lea_id,nces_school_name,nces_lea_name,nces_city,nces_zip,nces_grade_low,nces_grade_high,nces_level,nces_school_type,nces_operational_status,source_title,source_url,source_retrieval_date,source_file_sha256
south_lakes_high_school,South Lakes High School,510126000566,5101260,South Lakes High,Fairfax County Public Schools,Reston,20191,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
annandale_high_school,Annandale High School,510126000423,5101260,Annandale High,Fairfax County Public Schools,Annandale,22003,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
falls_church_high_school,Falls Church High School,510126000468,5101260,Falls Church High,Fairfax County Public Schools,Falls Church,22042,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
justice_high_school,Justice High School,510126000505,5101260,Justice High,Fairfax County Public Schools,Falls Church,22044,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
mclean_high_school,McLean High School,510126000538,5101260,McLean High,Fairfax County Public Schools,McLean,22101,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
marshall_high_school,Marshall High School,510126000535,5101260,Marshall High,Fairfax County Public Schools,Falls Church,22043,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
edison_high_school,Edison High School,510126000461,5101260,Edison High,Fairfax County Public Schools,Alexandria,22310,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
hayfield_secondary_school_hs,Hayfield Secondary School (HS),510126000493,5101260,Hayfield Secondary,Fairfax County Public Schools,Alexandria,22315,07,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
lewis_high_school,Lewis High School,510126000521,5101260,Lewis High,Fairfax County Public Schools,Springfield,22150,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
mount_vernon_high_school,Mount Vernon High School,510126000542,5101260,Mount Vernon High,Fairfax County Public Schools,Alexandria,22309,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
