school_id,school,tj_pathway,pathway_status,pathway_assignment_method,pathway_source_title,pathway_source_path,pathway_source_date,pathway_source_hash,pathway_source_note,division,district_name,sector,analytical_unit_type,nces_school_id,nces_lea_id,identifier_status,first_operating_class_year,first_operating_grade11_school_year,last_operating_class_year,last_operating_grade11_school_year,source_workbook,source_sheet,source_row,notes
herndon_high_school,Herndon High School,FCPS Region 1,assigned,base_school_region,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 allocates seats by each public school's 8th-grade population; the seed workbook supplies FCPS high-school-region analytical rows.,FCPS,Fairfax County Public Schools,public,public_high_school,510126000495,5101260,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,37,
langley_high_school,Langley High School,FCPS Region 1,assigned,base_school_region,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 allocates seats by each public school's 8th-grade population; the seed workbook supplies FCPS high-school-region analytical rows.,FCPS,Fairfax County Public Schools,public,public_high_school,510126000517,5101260,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,38,
madison_high_school,Madison High School,FCPS Region 1,assigned,base_school_region,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 allocates seats by each public school's 8th-grade population; the seed workbook supplies FCPS high-school-region analytical rows.,FCPS,Fairfax County Public Schools,public,public_high_school,510126000532,5101260,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,39,Renamed from James Madison High School
oakton_high_school,Oakton High School,FCPS Region 1,assigned,base_school_region,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 allocates seats by each public school's 8th-grade population; the seed workbook supplies FCPS high-school-region analytical rows.,FCPS,Fairfax County Public Schools,public,public_high_school,510126000550,5101260,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,40,
south_lakes_high_school,South Lakes High School,FCPS Region 1,assigned,base_school_region,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 allocates seats by each public school's 8th-grade population; the seed workbook supplies FCPS high-school-region analytical rows.,FCPS,Fairfax County Public Schools,public,public_high_school,510126000566,5101260,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,41,
annandale_high_school,Annandale High School,FCPS Region 2,assigned,base_school_region,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 allocates seats by each public school's 8th-grade population; the seed workbook supplies FCPS high-school-region analytical rows.,FCPS,Fairfax County Public Schools,public,public_high_school,510126000423,5101260,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,42,
falls_church_high_school,Falls Church High School,FCPS Region 2,assigned,base_school_region,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 allocates seats by each public school's 8th-grade population; the seed workbook supplies FCPS high-school-region analytical rows.,FCPS,Fairfax County Public Schools,public,public_high_school,510126000468,5101260,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,43,
justice_high_school,Justice High School,FCPS Region 2,assigned,base_school_region,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 allocates seats by each public school's 8th-grade population; the seed workbook supplies FCPS high-school-region analytical rows.,FCPS,Fairfax County Public Schools,public,public_high_school,510126000505,5101260,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,44,
mclean_high_school,McLean High School,FCPS Region 2,assigned,base_school_region,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 allocates seats by each public school's 8th-grade population; the seed workbook supplies FCPS high-school-region analytical rows.,FCPS,Fairfax County Public Schools,public,public_high_school,510126000538,5101260,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,45,
marshall_high_school,Marshall High School,FCPS Region 2,assigned,base_school_region,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 allocates seats by each public school's 8th-grade population; the seed workbook supplies FCPS high-school-region analytical rows.,FCPS,Fairfax County Public Schools,public,public_high_school,510126000535,5101260,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,46,Placed in Region 2 per 2020 plan
