school_id,school,class_year,grade11_school_year,grade11_enrollment,enrollment_status,enrollment_source_title,enrollment_source_url,enrollment_source_date,enrollment_source_hash,enrollment_source_sheet,enrollment_source_rows
freedom_high_school_south_riding,Freedom High School (South Riding),2019,2017-18,,ambiguous_source_name,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_022;sheet6_row_023
freedom_high_school_south_riding,Freedom High School (South Riding),2020,2018-19,,ambiguous_source_name,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_022;sheet6_row_023
freedom_high_school_south_riding,Freedom High School (South Riding),2021,2019-20,,ambiguous_source_name,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_022;sheet6_row_023
freedom_high_school_south_riding,Freedom High School (South Riding),2022,2020-21,,ambiguous_source_name,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_022;sheet6_row_023
freedom_high_school_south_riding,Freedom High School (South Riding),2023,2021-22,,ambiguous_source_name,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_022;sheet6_row_023
freedom_high_school_south_riding,Freedom High School (South Riding),2024,2022-23,,ambiguous_source_name,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_022;sheet6_row_023
freedom_high_school_south_riding,Freedom High School (South Riding),2025,2023-24,,ambiguous_source_name,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_022;sheet6_row_023
freedom_high_school_south_riding,Freedom High School (South Riding),2026,2024-25,,source_year_not_in_seed,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
heritage_high_school_leesburg,Heritage High School (Leesburg),2019,2017-18,360,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_028
heritage_high_school_leesburg,Heritage High School (Leesburg),2020,2018-19,363,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_028
heritage_high_school_leesburg,Heritage High School (Leesburg),2021,2019-20,363,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_028
heritage_high_school_leesburg,Heritage High School (Leesburg),2022,2020-21,388,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_028
heritage_high_school_leesburg,Heritage High School (Leesburg),2023,2021-22,349,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_028
heritage_high_school_leesburg,Heritage High School (Leesburg),2024,2022-23,366,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_028
heritage_high_school_leesburg,Heritage High School (Leesburg),2025,2023-24,353,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_028
heritage_high_school_leesburg,Heritage High School (Leesburg),2026,2024-25,,source_year_not_in_seed,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
independence_high_school,Independence High School,2019,2017-18,,not_operating,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
